region,plot_date,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,mw,year,month,month_name,season
Mid Atlantic - Dominion,2015-05-26,14627,9827,3328,1472,1077796.9320000005,2015,5,May,Spring
Mid Atlantic - Dominion,2015-05-27,15001,9827,3336,1838,1163901.54,2015,5,May,Spring
Mid Atlantic - Dominion,2015-06-03,12035,5635,5506,894,878296.5539999999,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-04,14090,5508,7496,1086,877106.2820000001,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-05,13062,5508,6562,992,883411.0470000003,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-06,12099,4160,6674,1265,881497.8740000005,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-07,11766,4160,6467,1139,853689.3919999999,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-08,10999,4202,5393,1404,1006151.0710000007,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-09,11327,4219,4548,2560,1103852.4869999997,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-10,10815,4183,4503,2129,1091792.7269999995,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-11,8907,3976,2792,2139,1208498.1270000006,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-12,8975,3921,2608,2446,1324276.2820000001,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-13,10457,3803,5159,1495,1213070.425,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-14,9988,3754,4766,1468,1161507.1770000008,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-15,7457,120,5722,1615,1255800.766999999,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-16,8486,120,5742,2624,1291010.204000001,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-17,7645,120,5148,2377,1184840.7499999995,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-18,8452,81,6656,1715,1109823.4820000005,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-19,7100,81,5050,1969,1165260.364,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-20,8396,81,6020,2295,1103006.6109999996,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-21,6747,81,4087,2579,1135316.0090000005,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-22,8037,81,3347,4609,1283595.727000001,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-23,10167,81,6283,3803,1347051.2890000015,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-24,9027,81,4543,4403,1177651.1600000004,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-25,8859,81,4936,3842,1116324.9139999996,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-26,9539,81,6705,2753,1077079.3709999993,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-27,13260,81,11128,2051,951717.7139999997,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-28,9602,33,7481,2088,897402.704,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-29,5491,33,3959,1499,989853.315,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-30,6076,33,3360,2683,1095482.5010000006,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-07-01,6400,33,3946,2421,1142452.765,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-02,5452,33,3108,2311,1060098.3390000002,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-03,5475,33,2597,2845,969265.3439999998,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-04,5112,33,2149,2930,938644.9699999997,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-05,4475,33,1562,2880,957450.2330000004,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-06,4167,33,1452,2682,1153808.4220000003,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-07,5379,33,1565,3781,1263778.5689999997,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-08,5853,33,1748,4072,1283154.9910000004,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-09,5091,33,2769,2289,1253411.9959999993,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-10,4892,33,3367,1492,1218726.9680000003,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-11,8917,33,6889,1995,1096818.7429999993,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-12,6639,33,4804,1802,1066666.2450000003,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-13,5087,33,3110,1944,1171723.293,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-14,6054,33,2870,3151,1206356.465000001,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-15,6754,54,2987,3713,1192131.408,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-16,7490,33,3923,3534,1072726.7770000002,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-17,8572,33,5192,3347,1081549.6779999996,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-18,8304,33,4371,3900,1132111.4460000002,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-19,8388,33,4177,4178,1267118.3309999986,2015,7,Jul,Summer
