plot_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,Usage_mw,PRCP,SNOW,SNWD,AWND,TMAX,TMIN,TDIFF,year,month,month_name,season
2015-05-26,Mid Atlantic - Dominion,14627,9827,3328,1472,3544.3025865384625,0.00425531914893617,0.0,0.0,11.083333333333334,83.59574468085107,58.266666666666666,25.355555555555554,2015,5,May,Spring
2015-05-27,Mid Atlantic - Dominion,15001,9827,3336,1838,3714.1734551282066,0.05872340425531915,0.0,0.0,10.833333333333334,83.7872340425532,63.57446808510638,20.21276595744681,2015,5,May,Spring
2015-06-03,Mid Atlantic - Dominion,12035,5635,5506,894,2435.6779861111136,0.22239130434782606,0.0,0.0,10.766666666666666,64.95744680851064,53.191489361702125,11.76595744680851,2015,6,Jun,Summer
2015-06-04,Mid Atlantic - Dominion,14090,5508,7496,1086,2435.7054166666667,0.11260869565217392,0.0,0.0,9.116666666666665,65.5111111111111,54.422222222222224,11.088888888888889,2015,6,Jun,Summer
2015-06-05,Mid Atlantic - Dominion,13062,5508,6562,992,2468.9442666666678,0.09288888888888888,0.0,0.0,6.366666666666667,67.28260869565217,56.15217391304348,11.130434782608695,2015,6,Jun,Summer
2015-06-06,Mid Atlantic - Dominion,12099,4160,6674,1265,2448.288105555557,0.24468085106382967,0.0,0.0,6.875,76.28888888888889,57.111111111111114,19.177777777777777,2015,6,Jun,Summer
2015-06-07,Mid Atlantic - Dominion,11766,4160,6467,1139,2373.3698527777774,0.0008888888888888889,0.0,0.0,8.275,76.4888888888889,53.51111111111111,22.977777777777778,2015,6,Jun,Summer
2015-06-08,Mid Atlantic - Dominion,10999,4202,5393,1404,2880.999750000001,0.10382978723404256,0.0,0.0,10.433333333333334,78.70212765957447,57.297872340425535,21.404255319148938,2015,6,Jun,Summer
2015-06-09,Mid Atlantic - Dominion,11327,4219,4548,2560,3068.7309611111095,0.4829787234042554,0.0,0.0,10.3,82.91489361702128,62.53191489361702,20.382978723404257,2015,6,Jun,Summer
2015-06-10,Mid Atlantic - Dominion,10815,4183,4503,2129,3048.614605555554,0.01872340425531915,0.0,0.0,4.1499999999999995,80.22727272727273,58.43181818181818,21.795454545454547,2015,6,Jun,Summer
2015-06-11,Mid Atlantic - Dominion,8907,3976,2792,2139,3454.042505555554,0.005957446808510639,0.0,0.0,7.8999999999999995,83.79545454545455,60.81818181818182,22.977272727272727,2015,6,Jun,Summer
2015-06-12,Mid Atlantic - Dominion,8975,3921,2608,2446,3669.7143611111114,0.12434782608695649,0.0,0.0,6.166666666666667,88.28260869565217,65.80434782608695,22.47826086956522,2015,6,Jun,Summer
2015-06-13,Mid Atlantic - Dominion,10457,3803,5159,1495,3306.3511027777763,0.16555555555555557,0.0,0.0,7.949999999999999,87.81395348837209,67.23255813953489,20.58139534883721,2015,6,Jun,Summer
2015-06-14,Mid Atlantic - Dominion,9988,3754,4766,1468,3233.245894444445,0.10533333333333329,0.0,0.0,5.975,83.68888888888888,66.4888888888889,17.2,2015,6,Jun,Summer
2015-06-15,Mid Atlantic - Dominion,7457,120,5722,1615,3528.4735916666673,0.5248936170212767,0.0,0.0,6.283333333333334,86.23404255319149,68.68181818181819,17.636363636363637,2015,6,Jun,Summer
2015-06-16,Mid Atlantic - Dominion,8486,120,5742,2624,3582.2094472222216,0.16999999999999996,0.0,0.0,4.7,87.59574468085107,69.80952380952381,18.214285714285715,2015,6,Jun,Summer
2015-06-17,Mid Atlantic - Dominion,7645,120,5148,2377,3213.7008722222217,0.09170212765957447,0.0,0.0,7.3,85.77777777777777,64.77272727272727,21.022727272727273,2015,6,Jun,Summer
2015-06-18,Mid Atlantic - Dominion,8452,81,6656,1715,3087.96774722222,0.2504255319148936,0.0,0.0,6.283333333333334,80.7872340425532,64.70212765957447,16.085106382978722,2015,6,Jun,Summer
2015-06-19,Mid Atlantic - Dominion,7100,81,5050,1969,3267.953450000001,0.28,0.0,0.0,4.416666666666667,83.17391304347827,66.02173913043478,17.152173913043477,2015,6,Jun,Summer
2015-06-20,Mid Atlantic - Dominion,8396,81,6020,2295,3024.719633333334,0.13866666666666666,0.0,0.0,7.550000000000001,82.71111111111111,65.42222222222222,17.288888888888888,2015,6,Jun,Summer
2015-06-21,Mid Atlantic - Dominion,6747,81,4087,2579,3231.619022222222,0.8873333333333333,0.0,0.0,10.075,82.6,66.97777777777777,15.622222222222222,2015,6,Jun,Summer
2015-06-22,Mid Atlantic - Dominion,8037,81,3347,4609,3588.1616888888884,0.06851063829787234,0.0,0.0,4.966666666666668,86.53333333333333,67.91111111111111,18.622222222222224,2015,6,Jun,Summer
2015-06-23,Mid Atlantic - Dominion,10167,81,6283,3803,3708.943877777783,0.19108695652173918,0.0,0.0,9.116666666666667,88.23913043478261,67.69565217391305,20.543478260869566,2015,6,Jun,Summer
2015-06-24,Mid Atlantic - Dominion,9027,81,4543,4403,3220.43304166667,0.32638297872340416,0.0,0.0,4.916666666666667,86.78260869565217,62.91304347826087,23.869565217391305,2015,6,Jun,Summer
2015-06-25,Mid Atlantic - Dominion,8859,81,4936,3842,3081.0412749999978,0.13617021276595745,0.0,0.0,4.0,82.42553191489361,60.1063829787234,22.319148936170212,2015,6,Jun,Summer
2015-06-26,Mid Atlantic - Dominion,9539,81,6705,2753,2978.492419444444,0.18638297872340417,0.0,0.0,4.166666666666667,79.91489361702128,61.638297872340424,18.27659574468085,2015,6,Jun,Summer
2015-06-27,Mid Atlantic - Dominion,13260,81,11128,2051,2572.284058333335,0.6083720930232558,0.0,0.0,12.4,79.13333333333334,63.95454545454545,15.204545454545455,2015,6,Jun,Summer
2015-06-28,Mid Atlantic - Dominion,9602,33,7481,2088,2503.5496361111113,0.9523809523809522,0.0,0.0,9.675,72.86363636363636,60.68181818181818,12.181818181818182,2015,6,Jun,Summer
2015-06-29,Mid Atlantic - Dominion,5491,33,3959,1499,2801.4174805555535,0.08488888888888887,0.0,0.0,7.55,73.8913043478261,56.54347826086956,17.347826086956523,2015,6,Jun,Summer
2015-06-30,Mid Atlantic - Dominion,6076,33,3360,2683,3092.430808333334,0.07659574468085105,0.0,0.0,8.15,79.46808510638297,58.680851063829785,20.78723404255319,2015,6,Jun,Summer
2015-07-01,Mid Atlantic - Dominion,6400,33,3946,2421,3171.602166666668,0.3785106382978724,0.0,0.0,8.216666666666667,81.14893617021276,62.787234042553195,18.361702127659573,2015,7,Jul,Summer
2015-07-02,Mid Atlantic - Dominion,5452,33,3108,2311,2872.177630555555,0.08936170212765958,0.0,0.0,2.9,79.80851063829788,61.148936170212764,18.659574468085108,2015,7,Jul,Summer
2015-07-03,Mid Atlantic - Dominion,5475,33,2597,2845,2693.5454166666664,0.0771111111111111,0.0,0.0,6.225,76.38297872340425,60.1063829787234,16.27659574468085,2015,7,Jul,Summer
2015-07-04,Mid Atlantic - Dominion,5112,33,2149,2930,2571.275263888887,0.31232558139534894,0.0,0.0,7.375,77.28888888888889,62.84444444444444,14.444444444444445,2015,7,Jul,Summer
