region,plot_date,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,mw,year,month,month_name,season
Mid Atlantic - Dominion,2015-05-26,14627,9827,3328,1472,1105822.4070000004,2015,5,May,Spring
Mid Atlantic - Dominion,2015-05-27,15001,9827,3336,1838,1158822.1180000005,2015,5,May,Spring
Mid Atlantic - Dominion,2015-06-03,12035,5635,5506,894,876844.0750000009,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-04,14090,5508,7496,1086,876853.9500000001,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-05,13062,5508,6562,992,888819.9360000005,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-06,12099,4160,6674,1265,881383.7180000006,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-07,11766,4160,6467,1139,854413.1469999999,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-08,10999,4202,5393,1404,1037159.9100000004,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-09,11327,4219,4548,2560,1104743.1459999995,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-10,10815,4183,4503,2129,1097501.2579999994,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-11,8907,3976,2792,2139,1243455.3019999994,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-12,8975,3921,2608,2446,1321097.1700000002,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-13,10457,3803,5159,1495,1190286.3969999994,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-14,9988,3754,4766,1468,1163968.5220000003,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-15,7457,120,5722,1615,1270250.4930000002,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-16,8486,120,5742,2624,1289595.4009999998,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-17,7645,120,5148,2377,1156932.3139999998,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-18,8452,81,6656,1715,1111668.3889999993,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-19,7100,81,5050,1969,1176463.2420000003,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-20,8396,81,6020,2295,1088899.0680000002,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-21,6747,81,4087,2579,1163382.848,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-22,8037,81,3347,4609,1291738.2079999999,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-23,10167,81,6283,3803,1335219.796000002,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-24,9027,81,4543,4403,1159355.8950000012,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-25,8859,81,4936,3842,1109174.8589999992,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-26,9539,81,6705,2753,1072257.2709999997,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-27,13260,81,11128,2051,926022.2610000006,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-28,9602,33,7481,2088,901277.8690000001,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-29,5491,33,3959,1499,1008510.2929999992,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-30,6076,33,3360,2683,1113275.0910000002,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-07-01,6400,33,3946,2421,1141776.7800000005,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-02,5452,33,3108,2311,1033983.9469999998,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-03,5475,33,2597,2845,969676.3499999999,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-04,5112,33,2149,2930,925659.0949999993,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-05,4475,33,1562,2880,983265.6210000009,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-06,4167,33,1452,2682,1175760.0510000002,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-07,5379,33,1565,3781,1282917.1599999995,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-08,5853,33,1748,4072,1272614.0339999998,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-09,5091,33,2769,2289,1255205.9900000002,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-10,4892,33,3367,1492,1202724.7959999994,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-11,8917,33,6889,1995,1083776.3129999996,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-12,6639,33,4804,1802,1075043.9300000002,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-13,5087,33,3110,1944,1178742.9420000007,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-14,6054,33,2870,3151,1220996.1910000003,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-15,6754,54,2987,3713,1166950.8040000002,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-16,7490,33,3923,3534,1065296.5580000002,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-17,8572,33,5192,3347,1088511.2349999992,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-18,8304,33,4371,3900,1152583.3370000008,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-19,8388,33,4177,4178,1297710.551,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-20,6690,66,2403,4221,1447313.9009999996,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-21,8408,131,3644,4633,1339335.6680000008,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-22,8093,196,3962,3935,1171580.2509999995,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-23,8743,131,4605,4007,1117356.0410000007,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-24,11136,131,6817,4188,1118709.5569999998,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-25,10660,131,6632,3897,1088936.4100000001,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-26,12035,131,9897,2007,1149050.443999999,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-27,7146,131,3795,3220,1248734.9840000009,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-28,8380,131,4369,3880,1315471.4070000006,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-29,6939,131,3213,3595,1342816.3909999987,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-30,5406,131,2380,2895,1327823.0480000004,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-31,7146,131,3282,3733,1238948.91,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-08-01,6340,98,3238,3004,1144631.7650000004,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-02,6426,98,4102,2226,1109385.4659999993,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-03,4670,98,1936,2636,1258486.0689999997,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-04,4574,98,2180,2296,1301354.0029999996,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-05,6976,98,3656,3222,1233576.4519999987,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-06,10995,98,7247,3650,1136777.2610000006,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-07,12950,98,9099,3753,1091103.2340000002,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-08,13267,98,10013,3156,1020418.1920000003,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-09,9412,98,6259,3055,1027629.1419999999,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-10,6393,163,3923,2307,1080017.524,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-11,5981,163,4142,1676,1152156.9780000001,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-12,6875,228,4639,2008,1126876.8210000005,2015,8,Aug,Summer
