region,plot_date,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,mw,year,month,month_name,season
Mid Atlantic - Dominion,2015-05-26,14627,9827,3328,1472,3544.3025865384625,2015,5,May,Spring
Mid Atlantic - Dominion,2015-05-27,15001,9827,3336,1838,3714.1734551282066,2015,5,May,Spring
Mid Atlantic - Dominion,2015-06-03,12035,5635,5506,894,2435.6779861111136,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-04,14090,5508,7496,1086,2435.7054166666667,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-05,13062,5508,6562,992,2468.9442666666678,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-06,12099,4160,6674,1265,2448.288105555557,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-07,11766,4160,6467,1139,2373.3698527777774,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-08,10999,4202,5393,1404,2880.999750000001,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-09,11327,4219,4548,2560,3068.7309611111095,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-10,10815,4183,4503,2129,3048.614605555554,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-11,8907,3976,2792,2139,3454.042505555554,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-12,8975,3921,2608,2446,3669.7143611111114,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-13,10457,3803,5159,1495,3306.3511027777763,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-14,9988,3754,4766,1468,3233.245894444445,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-15,7457,120,5722,1615,3528.4735916666673,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-16,8486,120,5742,2624,3582.2094472222216,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-17,7645,120,5148,2377,3213.7008722222217,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-18,8452,81,6656,1715,3087.96774722222,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-19,7100,81,5050,1969,3267.953450000001,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-20,8396,81,6020,2295,3024.719633333334,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-21,6747,81,4087,2579,3231.619022222222,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-22,8037,81,3347,4609,3588.1616888888884,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-23,10167,81,6283,3803,3708.943877777783,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-24,9027,81,4543,4403,3220.43304166667,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-25,8859,81,4936,3842,3081.0412749999978,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-26,9539,81,6705,2753,2978.492419444444,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-27,13260,81,11128,2051,2572.284058333335,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-28,9602,33,7481,2088,2503.5496361111113,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-29,5491,33,3959,1499,2801.4174805555535,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-06-30,6076,33,3360,2683,3092.430808333334,2015,6,Jun,Summer
Mid Atlantic - Dominion,2015-07-01,6400,33,3946,2421,3171.602166666668,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-02,5452,33,3108,2311,2872.177630555555,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-03,5475,33,2597,2845,2693.5454166666664,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-04,5112,33,2149,2930,2571.275263888887,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-05,4475,33,1562,2880,2731.293391666669,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-06,4167,33,1452,2682,3266.0001416666673,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-07,5379,33,1565,3781,3563.6587777777763,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-08,5853,33,1748,4072,3535.0389833333325,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-09,5091,33,2769,2289,3486.683305555556,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-10,4892,33,3367,1492,3340.9022111111094,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-11,8917,33,6889,1995,3010.4897583333322,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-12,6639,33,4804,1802,2986.2331388888892,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-13,5087,33,3110,1944,3274.2859500000022,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-14,6054,33,2870,3151,3391.656086111112,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-15,6754,54,2987,3713,3241.530011111112,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-16,7490,33,3923,3534,2959.157105555556,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-17,8572,33,5192,3347,3023.6423194444424,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-18,8304,33,4371,3900,3201.620380555558,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-19,8388,33,4177,4178,3604.7515305555553,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-20,6690,66,2403,4221,4020.3163916666654,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-21,8408,131,3644,4633,3720.3768555555575,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-22,8093,196,3962,3935,3254.3895861111096,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-23,8743,131,4605,4007,3103.7667805555575,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-24,11136,131,6817,4188,3107.526547222222,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-25,10660,131,6632,3897,3024.8233611111114,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-26,12035,131,9897,2007,3191.806788888886,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-27,7146,131,3795,3220,3468.7082888888913,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-28,8380,131,4369,3880,3654.0872416666684,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-29,6939,131,3213,3595,3730.045530555552,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-30,5406,131,2380,2895,3688.3973555555567,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-07-31,7146,131,3282,3733,3441.5247499999996,2015,7,Jul,Summer
Mid Atlantic - Dominion,2015-08-01,6340,98,3238,3004,3179.5326805555565,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-02,6426,98,4102,2226,3081.6262944444425,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-03,4670,98,1936,2636,3495.7946361111103,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-04,4574,98,2180,2296,3614.8722305555543,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-05,6976,98,3656,3222,3426.6012555555517,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-06,10995,98,7247,3650,3157.7146138888907,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-07,12950,98,9099,3753,3030.842316666667,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-08,13267,98,10013,3156,2834.4949777777783,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-09,9412,98,6259,3055,2854.525394444444,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-10,6393,163,3923,2307,3000.048677777778,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-11,5981,163,4142,1676,3200.4360500000003,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-12,6875,228,4639,2008,3130.213391666668,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-13,10996,163,8918,1915,3029.045883333333,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-14,5887,163,3861,1863,3085.027066666665,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-15,5558,163,3307,2088,3087.59493888889,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-16,4782,163,2762,1857,3206.408569444446,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-17,4417,164,2027,2226,3653.734880555559,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-18,3955,164,1798,1993,3595.505163888888,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-19,6917,164,4415,2338,3589.058030555557,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-20,6324,99,4422,1803,3546.2846416666644,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-21,6041,99,4005,1937,3302.549230555555,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-22,5526,99,3439,1988,2840.0265333333323,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-23,5876,99,3747,2030,2782.4182055555557,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-24,6058,99,3139,2820,3316.8267583333345,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-25,6217,99,3268,2850,3316.736652777775,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-26,8798,99,5501,3198,2986.99185277778,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-27,8807,99,5757,2951,2879.5232305555573,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-28,8297,99,5334,2864,2887.972505555556,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-29,8073,98,5086,2889,2837.447519444444,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-30,5794,98,2616,3080,3007.3247111111123,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-08-31,3990,98,980,2912,3455.220094444441,2015,8,Aug,Summer
Mid Atlantic - Dominion,2015-09-01,6034,122,3224,2688,3558.3604555555585,2015,9,Sep,Autumn
Mid Atlantic - Dominion,2015-09-02,5906,122,2388,3396,3537.622799999998,2015,9,Sep,Autumn
Mid Atlantic - Dominion,2015-09-03,5264,122,2465,2677,3603.88852222222,2015,9,Sep,Autumn
Mid Atlantic - Dominion,2015-09-04,5815,122,3221,2472,3500.2909666666646,2015,9,Sep,Autumn
