station_dt_key|date|station|PRCP|SNOW|SNWD|AWND|TMAX|TMIN
GHCND:USW00014734_2015-01-01|2015-01-01T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|12.5|39.0|20.0
GHCND:USW00014734_2015-01-02|2015-01-02T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|10.5|44.0|31.0
GHCND:USW00014734_2015-01-03|2015-01-03T00:00:00|GHCND:USW00014734|0.79|0.6|0.0|6.9|39.0|26.0
GHCND:USW00014734_2015-01-04|2015-01-04T00:00:00|GHCND:USW00014734|0.27|0.0|0.0|10.3|56.0|39.0
GHCND:USW00014734_2015-01-05|2015-01-05T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|19.2|48.0|20.0
GHCND:USW00014734_2015-01-06|2015-01-06T00:00:00|GHCND:USW00014734|0.05|1.0|0.0|6.5|21.0|13.0
GHCND:USW00014734_2015-01-07|2015-01-07T00:00:00|GHCND:USW00014734|0.0|0.1|1.2|17.0|25.0|8.0
GHCND:USW00014734_2015-01-08|2015-01-08T00:00:00|GHCND:USW00014734|0.0|0.0|1.2|13.2|21.0|6.0
GHCND:USW00014734_2015-01-09|2015-01-09T00:00:00|GHCND:USW00014734|0.04|0.7|0.0|14.3|33.0|17.0
GHCND:USW00014734_2015-01-10|2015-01-10T00:00:00|GHCND:USW00014734|0.0|0.0|1.2|13.0|23.0|14.0
GHCND:USW00014734_2015-01-11|2015-01-11T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|7.4|38.0|15.0
GHCND:USW00014734_2015-01-12|2015-01-12T00:00:00|GHCND:USW00014734|0.33|0.0|0.0|5.8|40.0|33.0
GHCND:USW00014734_2015-01-13|2015-01-13T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|15.7|37.0|14.0
GHCND:USW00014734_2015-01-14|2015-01-14T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|11.6|32.0|14.0
GHCND:USW00014734_2015-01-15|2015-01-15T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|8.9|36.0|25.0
GHCND:USW00014734_2015-01-16|2015-01-16T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|15.9|44.0|19.0
GHCND:USW00014734_2015-01-17|2015-01-17T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|7.6|30.0|15.0
GHCND:USW00014734_2015-01-18|2015-01-18T00:00:00|GHCND:USW00014734|1.84|0.0|0.0|5.6|40.0|23.0
GHCND:USW00014734_2015-01-19|2015-01-19T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|14.1|43.0|34.0
GHCND:USW00014734_2015-01-20|2015-01-20T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.2|42.0|31.0
GHCND:USW00014734_2015-01-21|2015-01-21T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|5.6|34.0|22.0
GHCND:USW00014734_2015-01-22|2015-01-22T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|7.6|40.0|30.0
GHCND:USW00014734_2015-01-23|2015-01-23T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|7.2|40.0|25.0
GHCND:USW00014734_2015-01-24|2015-01-24T00:00:00|GHCND:USW00014734|0.63|5.1|5.1|9.2|38.0|32.0
GHCND:USW00014734_2015-01-25|2015-01-25T00:00:00|GHCND:USW00014734|0.0|0.0|3.1|12.8|42.0|29.0
GHCND:USW00014734_2015-01-26|2015-01-26T00:00:00|GHCND:USW00014734|0.17|3.0|2.0|16.1|29.0|21.0
GHCND:USW00014734_2015-01-27|2015-01-27T00:00:00|GHCND:USW00014734|0.23|3.5|7.9|17.2|29.0|19.0
GHCND:USW00014734_2015-01-28|2015-01-28T00:00:00|GHCND:USW00014734|0.0|0.0|7.1|12.5|33.0|15.0
GHCND:USW00014734_2015-01-29|2015-01-29T00:00:00|GHCND:USW00014734|0.03|0.2|5.9|4.5|32.0|12.0
GHCND:USW00014734_2015-01-30|2015-01-30T00:00:00|GHCND:USW00014734|0.04|0.7|5.9|13.4|38.0|18.0
GHCND:USW00014734_2015-01-31|2015-01-31T00:00:00|GHCND:USW00014734|0.0|0.0|5.9|16.3|26.0|13.0
GHCND:USW00014734_2015-02-01|2015-02-01T00:00:00|GHCND:USW00014734|0.03|0.4|5.1|6.5|36.0|15.0
GHCND:USW00014734_2015-02-02|2015-02-02T00:00:00|GHCND:USW00014734|1.14|4.2|7.9|14.3|34.0|14.0
GHCND:USW00014734_2015-02-03|2015-02-03T00:00:00|GHCND:USW00014734|0.0|0.0|7.9|8.1|25.0|13.0
GHCND:USW00014734_2015-02-04|2015-02-04T00:00:00|GHCND:USW00014734|0.0|0.0|7.9|2.0|40.0|18.0
GHCND:USW00014734_2015-02-05|2015-02-05T00:00:00|GHCND:USW00014734|0.0|0.0|7.1|16.3|39.0|13.0
GHCND:USW00014734_2015-02-06|2015-02-06T00:00:00|GHCND:USW00014734|0.0|0.0|7.1|10.1|27.0|9.0
GHCND:USW00014734_2015-02-07|2015-02-07T00:00:00|GHCND:USW00014734|0.0|0.0|7.1|3.6|37.0|17.0
GHCND:USW00014734_2015-02-08|2015-02-08T00:00:00|GHCND:USW00014734|0.0|0.0|5.9|8.5|36.0|31.0
GHCND:USW00014734_2015-02-09|2015-02-09T00:00:00|GHCND:USW00014734|0.07|0.2|5.9|14.8|31.0|25.0
GHCND:USW00014734_2015-02-10|2015-02-10T00:00:00|GHCND:USW00014734|0.0|0.0|5.9|15.9|38.0|25.0
GHCND:USW00014734_2015-02-11|2015-02-11T00:00:00|GHCND:USW00014734|0.0|0.0|5.9|9.4|33.0|21.0
GHCND:USW00014734_2015-02-12|2015-02-12T00:00:00|GHCND:USW00014734|0.0|0.0|5.9|11.4|40.0|15.0
GHCND:USW00014734_2015-02-13|2015-02-13T00:00:00|GHCND:USW00014734|0.0|0.0|5.1|13.9|21.0|7.0
GHCND:USW00014734_2015-02-14|2015-02-14T00:00:00|GHCND:USW00014734|0.04|0.9|3.9|5.8|31.0|13.0
GHCND:USW00014734_2015-02-15|2015-02-15T00:00:00|GHCND:USW00014734|0.01|0.2|5.9|23.5|25.0|3.0
GHCND:USW00014734_2015-02-16|2015-02-16T00:00:00|GHCND:USW00014734|0.0|0.0|5.1|11.2|21.0|2.0
GHCND:USW00014734_2015-02-17|2015-02-17T00:00:00|GHCND:USW00014734|0.1|3.2|7.9|7.4|29.0|13.0
GHCND:USW00014734_2015-02-18|2015-02-18T00:00:00|GHCND:USW00014734|0.0|0.0|7.1|5.1|31.0|10.0
GHCND:USW00014734_2015-02-19|2015-02-19T00:00:00|GHCND:USW00014734|0.0|0.0|5.9|19.7|25.0|7.0
