station,Code,Key
GHCND:USC00182325,DC,GHCND:USC00182325DC
GHCND:USC00186350,DC,GHCND:USC00186350DC
GHCND:USC00072730,DE,GHCND:USC00072730DE
GHCND:USW00013764,DE,GHCND:USW00013764DE
GHCND:USW00013781,DE,GHCND:USW00013781DE
GHCND:USC00186620,MD,GHCND:USC00186620MD
GHCND:USC00187330,MD,GHCND:USC00187330MD
GHCND:USC00188380,MD,GHCND:USC00188380MD
GHCND:USC00188405,MD,GHCND:USC00188405MD
GHCND:USC00460527,MD,GHCND:USC00460527MD
GHCND:USW00013701,MD,GHCND:USW00013701MD
GHCND:USC00281582,NJ,GHCND:USC00281582NJ
GHCND:USC00283029,NJ,GHCND:USC00283029NJ
GHCND:USC00283662,NJ,GHCND:USC00283662NJ
GHCND:USC00288644,NJ,GHCND:USC00288644NJ
GHCND:USW00013724,NJ,GHCND:USW00013724NJ
GHCND:USW00014734,NJ,GHCND:USW00014734NJ
GHCND:USC00330862,OH,GHCND:USC00330862OH
GHCND:USC00336196,OH,GHCND:USC00336196OH
GHCND:USC00338609,OH,GHCND:USC00338609OH
GHCND:USC00338769,OH,GHCND:USC00338769OH
GHCND:USC00338822,OH,GHCND:USC00338822OH
GHCND:USC00338830,OH,GHCND:USC00338830OH
GHCND:USC00361920,PA,GHCND:USC00361920PA
GHCND:USC00363632,PA,GHCND:USC00363632PA
GHCND:USC00367409,PA,GHCND:USC00367409PA
GHCND:USC00367477,PA,GHCND:USC00367477PA
GHCND:USC00367931,PA,GHCND:USC00367931PA
GHCND:USC00368449,PA,GHCND:USC00368449PA
GHCND:USC00441593,VA,GHCND:USC00441593VA
GHCND:USC00443272,VA,GHCND:USC00443272VA
GHCND:USC00444876,VA,GHCND:USC00444876VA
GHCND:USC00447506,VA,GHCND:USC00447506VA
GHCND:USC00448062,VA,GHCND:USC00448062VA
GHCND:USC00449301,VA,GHCND:USC00449301VA
GHCND:USC00460580,WV,GHCND:USC00460580WV
GHCND:USC00461220,WV,GHCND:USC00461220WV
GHCND:USC00465224,WV,GHCND:USC00465224WV
GHCND:USC00465353,WV,GHCND:USC00465353WV
GHCND:USC00466867,WV,GHCND:USC00466867WV
GHCND:USW00013736,WV,GHCND:USW00013736WV
