,forecast_execution_date_ept,forecast_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,execution_date,forecast_just_date,date_match
0,2015-12-31,2015-12-31,Mid Atlantic - Dominion,5063,1525,2827,711,12312015,12312015,yes
1,2015-12-31,2015-12-31,PJM RTO,15599,3696,6137,5766,12312015,12312015,yes
2,2015-12-31,2015-12-31,Western,10536,2171,3310,5055,12312015,12312015,yes
21,2015-12-30,2015-12-30,Mid Atlantic - Dominion,7178,1525,3873,1780,12302015,12302015,yes
22,2015-12-30,2015-12-30,PJM RTO,17116,3721,7481,5914,12302015,12302015,yes
23,2015-12-30,2015-12-30,Western,9938,2196,3608,4134,12302015,12302015,yes
42,2015-12-29,2015-12-29,Mid Atlantic - Dominion,8405,1525,6014,866,12292015,12292015,yes
43,2015-12-29,2015-12-29,PJM RTO,21257,3721,11769,5767,12292015,12292015,yes
44,2015-12-29,2015-12-29,Western,12852,2196,5755,4901,12292015,12292015,yes
63,2015-12-28,2015-12-28,Mid Atlantic - Dominion,7723,1525,5123,1075,12282015,12282015,yes
64,2015-12-28,2015-12-28,PJM RTO,19277,4306,9806,5165,12282015,12282015,yes
65,2015-12-28,2015-12-28,Western,11554,2781,4683,4090,12282015,12282015,yes
84,2015-12-27,2015-12-27,Mid Atlantic - Dominion,7460,1525,4702,1233,12272015,12272015,yes
85,2015-12-27,2015-12-27,PJM RTO,19141,4306,8409,6426,12272015,12272015,yes
86,2015-12-27,2015-12-27,Western,11681,2781,3707,5193,12272015,12272015,yes
105,2015-12-26,2015-12-26,Mid Atlantic - Dominion,6865,1525,4342,998,12262015,12262015,yes
106,2015-12-26,2015-12-26,PJM RTO,20172,4306,9408,6458,12262015,12262015,yes
107,2015-12-26,2015-12-26,Western,13307,2781,5066,5460,12262015,12262015,yes
126,2015-12-25,2015-12-25,Mid Atlantic - Dominion,6207,1525,3742,940,12252015,12252015,yes
127,2015-12-25,2015-12-25,PJM RTO,16651,4306,5649,6696,12252015,12252015,yes
128,2015-12-25,2015-12-25,Western,10444,2781,1907,5756,12252015,12252015,yes
147,2015-12-24,2015-12-24,Mid Atlantic - Dominion,7603,1525,4312,1766,12242015,12242015,yes
148,2015-12-24,2015-12-24,PJM RTO,20340,4306,8500,7534,12242015,12242015,yes
149,2015-12-24,2015-12-24,Western,12737,2781,4188,5768,12242015,12242015,yes
168,2015-12-23,2015-12-23,Mid Atlantic - Dominion,9045,1525,5890,1630,12232015,12232015,yes
169,2015-12-23,2015-12-23,PJM RTO,23726,4306,11102,8318,12232015,12232015,yes
170,2015-12-23,2015-12-23,Western,14681,2781,5212,6688,12232015,12232015,yes
189,2015-12-22,2015-12-22,Mid Atlantic - Dominion,9128,1525,6855,748,12222015,12222015,yes
190,2015-12-22,2015-12-22,PJM RTO,24873,4306,14422,6145,12222015,12222015,yes
191,2015-12-22,2015-12-22,Western,15745,2781,7567,5397,12222015,12222015,yes
210,2015-12-21,2015-12-21,Mid Atlantic - Dominion,9421,1525,6520,1376,12212015,12212015,yes
211,2015-12-21,2015-12-21,PJM RTO,23940,5106,11939,6895,12212015,12212015,yes
212,2015-12-21,2015-12-21,Western,14519,3581,5419,5519,12212015,12212015,yes
231,2015-12-20,2015-12-20,Mid Atlantic - Dominion,10434,1525,7164,1745,12202015,12202015,yes
232,2015-12-20,2015-12-20,PJM RTO,24224,4521,13562,6141,12202015,12202015,yes
233,2015-12-20,2015-12-20,Western,13790,2996,6398,4396,12202015,12202015,yes
252,2015-12-19,2015-12-19,Mid Atlantic - Dominion,11175,1525,7352,2298,12192015,12192015,yes
253,2015-12-19,2015-12-19,PJM RTO,24926,4521,12749,7656,12192015,12192015,yes
254,2015-12-19,2015-12-19,Western,13751,2996,5397,5358,12192015,12192015,yes
273,2015-12-18,2015-12-18,Mid Atlantic - Dominion,12574,1683,8535,2356,12182015,12182015,yes
274,2015-12-18,2015-12-18,PJM RTO,24100,5295,11923,6882,12182015,12182015,yes
275,2015-12-18,2015-12-18,Western,11526,3612,3388,4526,12182015,12182015,yes
294,2015-12-17,2015-12-17,Mid Atlantic - Dominion,15303,1748,11313,2242,12172015,12172015,yes
295,2015-12-17,2015-12-17,PJM RTO,29675,5517,17508,6650,12172015,12172015,yes
296,2015-12-17,2015-12-17,Western,14372,3769,6195,4408,12172015,12172015,yes
315,2015-12-16,2015-12-16,Mid Atlantic - Dominion,14163,1683,10350,2130,12162015,12162015,yes
316,2015-12-16,2015-12-16,PJM RTO,26882,5452,14813,6617,12162015,12162015,yes
317,2015-12-16,2015-12-16,Western,12719,3769,4463,4487,12162015,12162015,yes
336,2015-12-15,2015-12-15,Mid Atlantic - Dominion,12544,1683,9543,1318,12152015,12152015,yes
337,2015-12-15,2015-12-15,PJM RTO,24370,5549,13893,4928,12152015,12152015,yes
338,2015-12-15,2015-12-15,Western,11826,3866,4350,3610,12152015,12152015,yes
357,2015-12-14,2015-12-14,Mid Atlantic - Dominion,12258,2487,7928,1843,12142015,12142015,yes
358,2015-12-14,2015-12-14,PJM RTO,27029,6353,14227,6449,12142015,12142015,yes
359,2015-12-14,2015-12-14,Western,14771,3866,6299,4606,12142015,12142015,yes
378,2015-12-13,2015-12-13,Mid Atlantic - Dominion,12704,2656,7964,2084,12132015,12132015,yes
379,2015-12-13,2015-12-13,PJM RTO,29833,8715,14432,6686,12132015,12132015,yes
380,2015-12-13,2015-12-13,Western,17129,6059,6468,4602,12132015,12132015,yes
399,2015-12-12,2015-12-12,Mid Atlantic - Dominion,14536,2761,9486,2289,12122015,12122015,yes
400,2015-12-12,2015-12-12,PJM RTO,32617,8820,16767,7030,12122015,12122015,yes
401,2015-12-12,2015-12-12,Western,18081,6059,7281,4741,12122015,12122015,yes
420,2015-12-11,2015-12-11,Mid Atlantic - Dominion,14667,4280,7500,2887,12112015,12112015,yes
421,2015-12-11,2015-12-11,PJM RTO,30837,10419,12373,8045,12112015,12112015,yes
422,2015-12-11,2015-12-11,Western,16170,6139,4873,5158,12112015,12112015,yes
441,2015-12-10,2015-12-10,Mid Atlantic - Dominion,13592,4390,6363,2839,12102015,12102015,yes
442,2015-12-10,2015-12-10,PJM RTO,30595,10529,12193,7873,12102015,12102015,yes
443,2015-12-10,2015-12-10,Western,17003,6139,5830,5034,12102015,12102015,yes
462,2015-12-09,2015-12-09,Mid Atlantic - Dominion,12576,5234,4681,2661,12092015,12092015,yes
463,2015-12-09,2015-12-09,PJM RTO,28004,10788,9374,7842,12092015,12092015,yes
464,2015-12-09,2015-12-09,Western,15428,5554,4693,5181,12092015,12092015,yes
483,2015-12-08,2015-12-08,Mid Atlantic - Dominion,15113,5945,6520,2648,12082015,12082015,yes
484,2015-12-08,2015-12-08,PJM RTO,32650,11499,12971,8180,12082015,12082015,yes
485,2015-12-08,2015-12-08,Western,17537,5554,6451,5532,12082015,12082015,yes
504,2015-12-07,2015-12-07,Mid Atlantic - Dominion,14272,6245,5389,2638,12072015,12072015,yes
505,2015-12-07,2015-12-07,PJM RTO,29383,11858,10854,6671,12072015,12072015,yes
506,2015-12-07,2015-12-07,Western,15111,5613,5465,4033,12072015,12072015,yes
525,2015-12-06,2015-12-06,Mid Atlantic - Dominion,14131,6450,5310,2371,12062015,12062015,yes
526,2015-12-06,2015-12-06,PJM RTO,31824,12509,12884,6431,12062015,12062015,yes
527,2015-12-06,2015-12-06,Western,17693,6059,7574,4060,12062015,12062015,yes
546,2015-12-05,2015-12-05,Mid Atlantic - Dominion,15223,6639,6363,2221,12052015,12052015,yes
547,2015-12-05,2015-12-05,PJM RTO,32516,12698,13014,6804,12052015,12052015,yes
548,2015-12-05,2015-12-05,Western,17293,6059,6651,4583,12052015,12052015,yes
567,2015-12-04,2015-12-04,Mid Atlantic - Dominion,14953,6557,5112,3284,12042015,12042015,yes
568,2015-12-04,2015-12-04,PJM RTO,30953,12011,10258,8684,12042015,12042015,yes
569,2015-12-04,2015-12-04,Western,16000,5454,5146,5400,12042015,12042015,yes
588,2015-12-03,2015-12-03,Mid Atlantic - Dominion,14902,7156,4585,3161,12032015,12032015,yes
589,2015-12-03,2015-12-03,PJM RTO,29475,12610,7584,9281,12032015,12032015,yes
590,2015-12-03,2015-12-03,Western,14573,5454,2999,6120,12032015,12032015,yes
609,2015-12-02,2015-12-02,Mid Atlantic - Dominion,12838,7280,2812,2746,12022015,12022015,yes
610,2015-12-02,2015-12-02,PJM RTO,26228,12778,4670,8780,12022015,12022015,yes
611,2015-12-02,2015-12-02,Western,13390,5498,1858,6034,12022015,12022015,yes
630,2015-12-01,2015-12-01,Mid Atlantic - Dominion,12418,7325,3194,1899,12012015,12012015,yes
631,2015-12-01,2015-12-01,PJM RTO,25711,12823,5692,7196,12012015,12012015,yes
632,2015-12-01,2015-12-01,Western,13293,5498,2498,5297,12012015,12012015,yes
651,2015-11-30,2015-11-30,Mid Atlantic - Dominion,13591,8165,4601,825,11302015,11302015,yes
