forecast_execution_date_ept,forecast_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw
7/5/2020 0:00,7/5/2020 0:00,Mid Atlantic - Dominion,5706,0,2776,2930
7/5/2020 0:00,7/5/2020 0:00,Western,6463,0,4232,2231
7/5/2020 0:00,7/5/2020 0:00,PJM RTO,12169,0,7008,5161
7/5/2020 0:00,7/6/2020 0:00,Mid Atlantic - Dominion,3958,0,2072,1886
7/5/2020 0:00,7/6/2020 0:00,Western,4600,0,2805,1795
7/5/2020 0:00,7/6/2020 0:00,PJM RTO,8558,0,4877,3681
7/5/2020 0:00,7/7/2020 0:00,Mid Atlantic - Dominion,4081,0,2367,1714
7/5/2020 0:00,7/7/2020 0:00,Western,5127,0,3837,1290
7/5/2020 0:00,7/7/2020 0:00,PJM RTO,9208,0,6204,3004
7/5/2020 0:00,7/8/2020 0:00,Mid Atlantic - Dominion,3845,0,2196,1649
7/5/2020 0:00,7/8/2020 0:00,Western,4368,0,3845,523
7/5/2020 0:00,7/8/2020 0:00,PJM RTO,8213,0,6041,2172
7/5/2020 0:00,7/9/2020 0:00,Mid Atlantic - Dominion,2991,0,1481,1510
7/5/2020 0:00,7/9/2020 0:00,Western,4492,0,4013,479
7/5/2020 0:00,7/9/2020 0:00,PJM RTO,7483,0,5494,1989
7/5/2020 0:00,7/10/2020 0:00,Mid Atlantic - Dominion,2660,0,1253,1407
7/5/2020 0:00,7/10/2020 0:00,Western,3895,0,3416,479
7/5/2020 0:00,7/10/2020 0:00,PJM RTO,6555,0,4669,1886
7/5/2020 0:00,7/11/2020 0:00,Mid Atlantic - Dominion,2446,0,1087,1359
7/5/2020 0:00,7/11/2020 0:00,Western,3790,0,3351,439
7/5/2020 0:00,7/11/2020 0:00,PJM RTO,6236,0,4438,1798
7/4/2020 0:00,7/4/2020 0:00,Mid Atlantic - Dominion,5197,0,2957,2240
7/4/2020 0:00,7/4/2020 0:00,Western,5215,0,3466,1749
7/4/2020 0:00,7/4/2020 0:00,PJM RTO,10412,0,6423,3989
7/4/2020 0:00,7/5/2020 0:00,Mid Atlantic - Dominion,4468,0,2652,1816
7/4/2020 0:00,7/5/2020 0:00,Western,5578,0,4169,1409
7/4/2020 0:00,7/5/2020 0:00,PJM RTO,10046,0,6821,3225
7/4/2020 0:00,7/6/2020 0:00,Western,3609,0,2779,830
7/4/2020 0:00,7/6/2020 0:00,Mid Atlantic - Dominion,3674,0,2085,1589
7/4/2020 0:00,7/6/2020 0:00,PJM RTO,7283,0,4864,2419
7/4/2020 0:00,7/7/2020 0:00,Mid Atlantic - Dominion,3325,0,1814,1511
7/4/2020 0:00,7/7/2020 0:00,Western,4205,0,3811,394
7/4/2020 0:00,7/7/2020 0:00,PJM RTO,7530,0,5625,1905
7/4/2020 0:00,7/8/2020 0:00,Mid Atlantic - Dominion,3154,0,1643,1511
7/4/2020 0:00,7/8/2020 0:00,Western,4230,0,3822,408
7/4/2020 0:00,7/8/2020 0:00,PJM RTO,7384,0,5465,1919
7/4/2020 0:00,7/9/2020 0:00,Mid Atlantic - Dominion,2300,0,928,1372
7/4/2020 0:00,7/9/2020 0:00,Western,4354,0,3990,364
7/4/2020 0:00,7/9/2020 0:00,PJM RTO,6654,0,4918,1736
7/4/2020 0:00,7/10/2020 0:00,Mid Atlantic - Dominion,1969,0,700,1269
7/4/2020 0:00,7/10/2020 0:00,Western,3757,0,3393,364
7/4/2020 0:00,7/10/2020 0:00,PJM RTO,5726,0,4093,1633
7/3/2020 0:00,7/3/2020 0:00,Mid Atlantic - Dominion,3626,0,1246,2380
